Label,url_length,num_dots,num_hyphens,num_at,has_https,contains_login
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,71,2,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,20,1,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,211,14,1,0,0,0
phishing,42,3,0,0,0,0
phishing,18,2,0,0,0,0
phishing,41,4,2,0,0,0
phishing,52,6,0,0,0,0
phishing,40,2,0,0,0,0
phishing,72,2,0,0,0,0
phishing,165,2,1,0,0,1
phishing,150,5,1,0,0,1
phishing,127,5,0,0,0,0
phishing,83,6,1,0,0,0
phishing,43,3,0,0,0,0
phishing,35,1,0,0,0,0
phishing,36,4,0,0,0,0
phishing,79,2,0,0,0,0
phishing,139,1,3,0,0,0
phishing,30,2,0,0,0,0
phishing,140,1,3,0,0,0
phishing,173,3,1,0,0,1
phishing,42,5,1,0,0,1
phishing,67,4,1,0,0,0
phishing,58,5,1,0,0,0
phishing,161,2,1,0,0,1
phishing,98,2,5,0,0,1
phishing,186,3,0,0,0,0
phishing,37,2,0,0,0,0
phishing,73,6,2,0,0,0
phishing,72,6,2,0,0,0
phishing,187,12,0,0,0,0
phishing,39,1,0,0,0,0
phishing,160,3,0,0,0,1
phishing,118,12,0,0,0,1
phishing,84,12,0,0,0,1
phishing,118,12,0,0,0,1
phishing,118,12,0,0,0,1
phishing,117,9,2,0,0,0
phishing,47,4,0,0,0,0
phishing,81,2,0,0,0,0
phishing,83,2,1,0,0,0
phishing,38,3,0,0,0,0
phishing,13,1,0,0,0,0
phishing,98,1,1,0,0,0
phishing,29,4,0,0,0,0
phishing,37,1,2,0,0,0
phishing,52,3,0,0,0,0
phishing,72,2,0,0,0,0
phishing,66,1,0,0,0,0
phishing,80,2,0,0,0,0
phishing,74,1,0,0,0,0
phishing,76,2,0,0,0,0
phishing,70,1,0,0,0,0
phishing,64,2,0,0,0,0
phishing,58,1,0,0,0,0
phishing,90,2,1,0,0,0
phishing,104,3,1,0,0,0
phishing,64,7,3,0,0,0
phishing,100,2,0,0,0,0
phishing,175,2,1,0,0,1
phishing,61,2,4,0,0,1
phishing,200,11,5,0,0,0
phishing,104,2,2,0,0,1
phishing,174,12,4,0,0,1
phishing,84,2,1,0,0,0
phishing,84,2,2,0,0,0
phishing,84,2,2,0,0,0
phishing,84,2,2,0,0,0
phishing,177,12,4,0,0,1
phishing,150,15,2,0,0,1
phishing,43,3,0,0,0,0
phishing,29,1,1,0,0,0
